Week,Day,Title,Link,dtitle1,dlink1,dpoints1,drubric1,dtype1,dtitle2,dlink2,dpoints2,drubric2,dtype2,dtitle3,dlink3,dpoints3,drubric3,dtype3,rtitle1,rlink1,rtitle2,rlink2,rtitle3,rlink3,rtitle4,rlink4,rtitle5,rlink5
0,0,Course Overview,../Ursinus-CSPedagogy-Overview,Written Assignment: Warmup Handed Out,Assignments/Warmup,15,,onpaper,,,,,,,,,,,Hello World: The Big Book of Computing Pedagogy,https://magazines-static.raspberrypi.org/books/full_pdfs/000/000/043/original/Hello_World_The_Big_Book_of_Pedagogy.pdf?1653380723,,,,,,,,
0,1,What is Computer Science and Why CS Education?,./Activities/WhatIsCS,Curriculum Development Lab: code.org Lightning Talk Handed Out,Labs/CodeOrgLightningTalk,10,,,,,,,,,,,,,CSTA Standards for CS Teachers,https://www.csteachers.org/page/standards-for-cs-teachers,Seven Big Ideas of Computer Science from the AP CS Principles Curriculum Framework,https://w3.cs.jmu.edu/cs101/big-ideas.pdf,CS Principles with code.org,https://code.org/educate/facilitator-landing/CSP,,,,
1,0,code.org Lightning Talks,,Curriculum Development Lab: code.org Lightning Talk Due,Labs/CodeOrgLightningTalk,10,,,Reflection: code.org Lightning Talk Reflection Handed Out,Reflections/CodeOrgLightningTalk,10,,onpaper,,,,,,,,,,,,,,,
1,1,Pedagogy Background: Understanding by Design and Backwards Design,./Activities/UBD,Written Assignment: Warmup Due,Assignments/Warmup,15,,onpaper,Curriculum Development Lab: Lightning Talk Handed Out,Labs/LightningTalk,10,,,,,,,,Understanding by Design,https://cft.vanderbilt.edu/guides-sub-pages/understanding-by-design/,CS Education Chapters 1 and 2,,Big Book of Pedagogy - Concept Maps,,,,,
2,0,Pedagogy Background: Understanding by Design and Backwards Design,,Reflection: code.org Lightning Talk Reflection Due,Reflections/CodeOrgLightningTalk,10,,onpaper,,,,,,,,,,,Bloom's Taxonomy,https://cft.vanderbilt.edu/guides-sub-pages/blooms-taxonomy/,,,,,,,,
2,1,Lightning Talks,,Curriculum Development Lab: Lightning Talk Due,Labs/LightningTalk,10,,,Reflection: Lightning Talk Reflection Handed Out,Reflections/LightningTalk,10,,onpaper,,,,,,,,,,,,,,,
3,0,Assessing Learning: Bloom's Taxonomy,./Activities/Bloom,Written Assignment: Framing Your Lightning Talk in UbD Handed Out,Assignments/FramingLightningUBD,100,_pages/Assignments/assignment-framinglightningubd.md,onpaper,,,,,,,,,,,Maslow's Hierarchy of Needs,https://www.simplypsychology.org/maslow.html,,,,,,,,
3,1,Assessing Learning: Rubrics and Contract Grading,./Activities/RubricContract,Reflection: Lightning Talk Reflection Due,Reflections/LightningTalk,10,,onpaper,Curriculum Development Lab: UbD Lesson Plan Handed Out,Labs/UbDLessonPlan,10,_pages/Labs/lab-ubdlessonplan.md,,,,,,,A Unilateral Grading Contract to Improve Learning and Teaching by Elbow and Danielewicz,https://scholarworks.umass.edu/cgi/viewcontent.cgi?article=1002&context=eng_faculty_pubs,Techniques for Using Specifications Grading in Computer Science,https://dl.acm.org/doi/abs/10.5555/3205191.3205226,,,,,,
4,0,Unique Challenges in CS Pedagogy,./Activities/UniqueChallengesCS,,,,,,,,,,,,,,,,Achieving a Differentiated Computer Science Classroom: An Approach to Promote Equity,https://www.techsmart.codes/achieving-a-differentiated-computer-science-classroom-an-approach-to-promote-equity/,Inclusive CS Teaching,https://sites.google.com/view/inclusivecsteaching/home?authuser=0&pli=1,CSTA: Reflecting on Computer Science Pedagogy - 12 Pedagogical Principles (Sentance),https://csteachers.org/Stories/reflecting-on-computer-science-pedagogy,,,,
4,1,Using Kinesthetics: Computer Science Unplugged,./Activities/CSUnplugged,,,,,,,,,,,,,,,,Big Book of Pedagogy - Go Unplugged,,CS Education Chapter 3,,,,,,,
